65,26,48.2,47
54,42,47.8,50
56,47,51.8,52
58,40,49.2,50
53,44,47.4,45
57,48,53,54
61,41,50.4,49
51,45,48.2,50
57,53,54.6,54
53,48,50.4,50
55,42,49,49
53,49,50.8,50
62,37,51.2,53
53,48,50.8,51
53,42,48,48
59,46,52,51
52,44,48.4,48
53,48,49.8,49
54,43,48.8,49
49,47,48.2,48
53,44,48.4,47
58,46,51.2,52
59,44,55,58
59,47,54.2,55
55,40,49.4,53
63,47,52.6,53
59,49,52.6,51
54,45,49.4,48
55,43,47.4,46
56,51,52.8,53
58,46,50.4,49
56,39,49.4,49
51,44,49.2,51
58,42,50.8,52
61,43,51.2,50
57,49,52.2,52
54,48,50.6,50
57,44,52,53
56,40,48,47
55,46,50.8,52
60,44,48.8,47
54,39,44.8,42
55,40,49.2,51
54,41,48.8,50
56,38,47.2,48
56,45,49.4,49
55,43,48.4,50
59,45,51.2,48
57,44,50.4,51
54,45,49.2,49
57,38,49,49
58,46,51.2,49
56,50,52.2,51
56,42,52.4,55
56,45,52,55
53,42,48.2,48
54,46,50,49
56,42,49,50
57,44,51.8,53
55,44,50.6,54
54,44,48,46
58,47,53.4,55
59,46,51,50
57,46,51.2,52
55,44,51.2,53
54,43,47.8,49
57,42,50,53
52,35,46,47
60,41,48,44
56,41,50.2,52
57,35,48.6,50
51,43,47.4,48
54,39,46.6,44
56,44,48.2,46
53,42,47.8,48
56,44,50.2,51
52,46,49.2,50
60,43,51.4,52
